nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,test_nloglik
10,1,0.05,0,0.5,1,0.5,0.5706132103412429
20,1,0.05,0,0.5,1,0.5,0.5334801436438041
30,1,0.05,0,0.5,1,0.5,0.5074137561021346
40,1,0.05,0,0.5,1,0.5,0.4891100851353612
50,1,0.05,0,0.5,1,0.5,0.47646592408683197
60,1,0.05,0,0.5,1,0.5,0.4680320304207411
70,1,0.05,0,0.5,1,0.5,0.4622653436817979
80,1,0.05,0,0.5,1,0.5,0.45831438333302504
90,1,0.05,0,0.5,1,0.5,0.4556953742015552
100,1,0.05,0,0.5,1,0.5,0.45394148507677234
10,2,0.05,0,0.5,1,0.5,0.5703201936762435
20,2,0.05,0,0.5,1,0.5,0.5329115260291335
30,2,0.05,0,0.5,1,0.5,0.5066452403797765
40,2,0.05,0,0.5,1,0.5,0.48796381578283987
50,2,0.05,0,0.5,1,0.5,0.4752830601996224
60,2,0.05,0,0.5,1,0.5,0.46642412572169467
70,2,0.05,0,0.5,1,0.5,0.4607808930594819
80,2,0.05,0,0.5,1,0.5,0.45667821971249406
90,2,0.05,0,0.5,1,0.5,0.45405871116537566
100,2,0.05,0,0.5,1,0.5,0.4522336180753403
10,3,0.05,0,0.5,1,0.5,0.57024764470603
20,3,0.05,0,0.5,1,0.5,0.53275526494143
30,3,0.05,0,0.5,1,0.5,0.506034817427752
40,3,0.05,0,0.5,1,0.5,0.4876376926022195
50,3,0.05,0,0.5,1,0.5,0.47468139109818913
60,3,0.05,0,0.5,1,0.5,0.46582737320907946
70,3,0.05,0,0.5,1,0.5,0.46003753114156304
80,3,0.05,0,0.5,1,0.5,0.45596375922556004
90,3,0.05,0,0.5,1,0.5,0.45331755257404127
100,3,0.05,0,0.5,1,0.5,0.45150975516279
10,4,0.05,0,0.5,1,0.5,0.5700804737779412
20,4,0.05,0,0.5,1,0.5,0.5326629371123661
30,4,0.05,0,0.5,1,0.5,0.5057927657528151
40,4,0.05,0,0.5,1,0.5,0.48720242496586497
50,4,0.05,0,0.5,1,0.5,0.47416554905347585
60,4,0.05,0,0.5,1,0.5,0.46540351111045986
70,4,0.05,0,0.5,1,0.5,0.45944697776331744
80,4,0.05,0,0.5,1,0.5,0.45548586103892286
90,4,0.05,0,0.5,1,0.5,0.45280389703985946
